ENSG00000007312	ENST00000006750
ENSG00000012048	ENST00000357654
ENSG00000049618	ENST00000636930
ENSG00000066468	ENST00000358487
ENSG00000068078	ENST00000440486
ENSG00000077782	ENST00000447712
ENSG00000085999	ENST00000371975
ENSG00000087460	ENST00000371085
ENSG00000091831	ENST00000206249
ENSG00000105976	ENST00000397752
ENSG00000115392	ENST00000233741
ENSG00000139144	ENST00000538779
ENSG00000141510	ENST00000269305
ENSG00000142208	ENST00000649815
ENSG00000147889	ENST00000304494
ENSG00000149554	ENST00000438015
ENSG00000168769	ENST00000380013
ENSG00000172936	ENST00000650905
ENSG00000183765	ENST00000404276
ENSG00000185379	ENST00000345365
ENSG00000221914	ENST00000380737
ENSG00000245848	ENST00000498907
